"Notes","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01",220,35092928,0.6,0.5,0.7
,"Arizona","04",207,51521005,0.4,0.3,0.5
,"Arkansas","05",130,21289765,0.6,0.5,0.7
,"California","06",554,275100980,0.2,0.2,0.2
,"Colorado","08",101,40749117,0.2,0.2,0.3
,"Connecticut","09",64,25219005,0.3,0.2,0.3
,"Delaware","10",16,7033331,0.2,0.1,0.4
,"District of Columbia","11",31,4844095,0.6,0.4,0.9
,"Florida","12",457,154519266,0.3,0.3,0.3
,"Georgia","13",425,75769462,0.6,0.5,0.6
,"Idaho","16",42,13174487,0.3,0.2,0.4
,"Illinois","17",232,88513779,0.3,0.2,0.3
,"Indiana","18",204,47604546,0.4,0.4,0.5
,"Iowa","19",69,22316864,0.3,0.2,0.4
,"Kansas","20",76,20521508,0.4,0.3,0.5
,"Kentucky","21",154,31549556,0.5,0.4,0.6
,"Louisiana","22",192,32339867,0.6,0.5,0.7
,"Maine","23",17,9591078,0.2,0.1,0.3
,"Maryland","24",148,42917462,0.3,0.3,0.4
,"Massachusetts","25",99,48792493,0.2,0.2,0.2
,"Michigan","26",217,70211971,0.3,0.3,0.4
,"Minnesota","27",92,39863793,0.2,0.2,0.3
,"Mississippi","28",138,20702222,0.7,0.6,0.8
,"Missouri","29",192,43203194,0.4,0.4,0.5
,"Montana","30",34,7708843,0.4,0.3,0.6
,"Nebraska","31",48,13716687,0.3,0.3,0.5
,"Nevada","32",58,22036213,0.3,0.2,0.3
,"New Hampshire","33",19,9677753,0.2,0.1,0.3
,"New Jersey","34",247,63993602,0.4,0.3,0.4
,"New Mexico","35",59,14772424,0.4,0.3,0.5
,"New York","36",494,137284074,0.4,0.3,0.4
,"North Carolina","37",385,74604177,0.5,0.5,0.6
,"North Dakota","38",20,5422151,0.4,0.2,0.6
,"Ohio","39",306,82277073,0.4,0.3,0.4
,"Oklahoma","40",112,28036489,0.4,0.3,0.5
,"Oregon","41",80,29641978,0.3,0.2,0.3
,"Pennsylvania","42",235,90368801,0.3,0.2,0.3
,"Rhode Island","44",19,7571415,0.3,0.2,0.4
,"South Carolina","45",173,36776606,0.5,0.4,0.5
,"South Dakota","46",30,6308798,0.5,0.3,0.7
,"Tennessee","47",284,48866814,0.6,0.5,0.6
,"Texas","48",961,208410130,0.5,0.4,0.5
,"Utah","49",64,23257064,0.3,0.2,0.4
,"Virginia","51",279,60496553,0.5,0.4,0.5
,"Washington","53",159,54139634,0.3,0.2,0.3
,"West Virginia","54",54,12480931,0.4,0.3,0.6
,"Wisconsin","55",103,41129034,0.3,0.2,0.3
,"Wyoming","56",20,4070683,0.5,0.3,0.8
