"Notes","State of Residence","State of Residence Code",Births
,"Alabama","01",406018
,"Alaska","02",66061
,"Arizona","04",550315
,"Arkansas","05",250928
,"California","06",2963553
,"Colorado","08",438342
,"Connecticut","09",242603
,"Delaware","10",73850
,"District of Columbia","11",59412
,"Florida","12",1537707
,"Georgia","13",876776
,"Hawaii","15",110434
,"Idaho","16",155490
,"Illinois","17",929331
,"Indiana","18",559973
,"Iowa","19",257377
,"Kansas","20",243187
,"Kentucky","21",368085
,"Louisiana","22",398032
,"Maine","23",82956
,"Maryland","24",478270
,"Massachusetts","25",477652
,"Michigan","26",727942
,"Minnesota","27",449079
,"Mississippi","28",246872
,"Missouri","29",488240
,"Montana","30",78198
,"Nebraska","31",172384
,"Nevada","32",235461
,"New Hampshire","33",84033
,"New Jersey","34",705525
,"New Mexico","35",153186
,"New York","36",1484732
,"North Carolina","37",839375
,"North Dakota","38",70109
,"Ohio","39",910499
,"Oklahoma","40",339179
,"Oregon","41",281534
,"Pennsylvania","42",917720
,"Rhode Island","44",71329
,"South Carolina","45",400913
,"South Dakota","46",79524
,"Tennessee","47",570726
,"Texas","48",2666521
,"Utah","49",323900
,"Vermont","50",36714
,"Virginia","51",670179
,"Washington","53",585360
,"West Virginia","54",121462
,"Wisconsin","55",429232
,"Wyoming","56",43620
